x              forward(x)     
-6.7000e-01    +1.7644e-01   
-6.8000e-01    +1.7180e-01   
-6.9000e-01    +1.6710e-01   
-7.0000e-01    +1.6236e-01   
-7.1000e-01    +1.5757e-01   
-7.2000e-01    +1.5274e-01   
-7.3000e-01    +1.4785e-01   
-7.4000e-01    +1.4293e-01   
-7.5000e-01    +1.3796e-01   
-7.6000e-01    +1.3294e-01   
-7.7000e-01    +1.2788e-01   
-7.8000e-01    +1.2278e-01   
-7.9000e-01    +1.1763e-01   
-8.0000e-01    +1.1244e-01   
-8.1000e-01    +1.0720e-01   
-8.2000e-01    +1.0193e-01   
-8.3000e-01    +9.6610e-02   
-8.4000e-01    +9.1250e-02   
-8.5000e-01    +8.5849e-02   
-8.6000e-01    +8.0407e-02   
-8.7000e-01    +7.4924e-02   
-8.8000e-01    +6.9400e-02   
-8.9000e-01    +6.3836e-02   
-9.0000e-01    +5.8231e-02   
-9.1000e-01    +5.2587e-02   
-9.2000e-01    +4.6902e-02   
-9.3000e-01    +4.1178e-02   
-9.4000e-01    +3.5414e-02   
-9.5000e-01    +2.9610e-02   
-9.6000e-01    +2.3767e-02   
-9.7000e-01    +1.7884e-02   
-9.8000e-01    +1.1962e-02   
-9.9000e-01    +6.0008e-03   
-1.0000e+00    +0.0000e+00   
