x              forward(x)     
-6.7000e-01    +4.3302e-01   
-6.8000e-01    +4.2305e-01   
-6.9000e-01    +4.1290e-01   
-7.0000e-01    +4.0257e-01   
-7.1000e-01    +3.9206e-01   
-7.2000e-01    +3.8137e-01   
-7.3000e-01    +3.7049e-01   
-7.4000e-01    +3.5942e-01   
-7.5000e-01    +3.4817e-01   
-7.6000e-01    +3.3672e-01   
-7.7000e-01    +3.2509e-01   
-7.8000e-01    +3.1326e-01   
-7.9000e-01    +3.0123e-01   
-8.0000e-01    +2.8901e-01   
-8.1000e-01    +2.7659e-01   
-8.2000e-01    +2.6397e-01   
-8.3000e-01    +2.5114e-01   
-8.4000e-01    +2.3811e-01   
-8.5000e-01    +2.2487e-01   
-8.6000e-01    +2.1143e-01   
-8.7000e-01    +1.9777e-01   
-8.8000e-01    +1.8390e-01   
-8.9000e-01    +1.6982e-01   
-9.0000e-01    +1.5551e-01   
-9.1000e-01    +1.4099e-01   
-9.2000e-01    +1.2625e-01   
-9.3000e-01    +1.1128e-01   
-9.4000e-01    +9.6080e-02   
-9.5000e-01    +8.0655e-02   
-9.6000e-01    +6.4998e-02   
-9.7000e-01    +4.9106e-02   
-9.8000e-01    +3.2978e-02   
-9.9000e-01    +1.6610e-02   
-1.0000e+00    +0.0000e+00   
