x              mean(f(x))     mean(g^2(x))   
-1.3000e-01    +8.3474e-02    +2.4019e+00   
-1.4000e-01    +6.5643e-02    +2.4109e+00   
-1.5000e-01    +4.7890e-02    +2.4200e+00   
-1.6000e-01    +3.0219e-02    +2.4292e+00   
-1.7000e-01    +1.2634e-02    +2.4385e+00   
-1.8000e-01    -4.8596e-03    +2.4478e+00   
-1.9000e-01    -2.2258e-02    +2.4573e+00   
-2.0000e-01    -3.9557e-02    +2.4667e+00   
-2.1000e-01    -5.6752e-02    +2.4763e+00   
-2.2000e-01    -7.3838e-02    +2.4859e+00   
-2.3000e-01    -9.0811e-02    +2.4955e+00   
-2.4000e-01    -1.0767e-01    +2.5052e+00   
-2.5000e-01    -1.2440e-01    +2.5150e+00   
-2.6000e-01    -1.4100e-01    +2.5247e+00   
-2.7000e-01    -1.5748e-01    +2.5345e+00   
-2.8000e-01    -1.7381e-01    +2.5444e+00   
-2.9000e-01    -1.9000e-01    +2.5542e+00   
-3.0000e-01    -2.0605e-01    +2.5641e+00   
-3.1000e-01    -2.2194e-01    +2.5739e+00   
-3.2000e-01    -2.3768e-01    +2.5838e+00   
-3.3000e-01    -2.5325e-01    +2.5937e+00   
-3.4000e-01    -2.6866e-01    +2.6035e+00   
-3.5000e-01    -2.8389e-01    +2.6134e+00   
-3.6000e-01    -2.9895e-01    +2.6232e+00   
-3.7000e-01    -3.1382e-01    +2.6330e+00   
-3.8000e-01    -3.2850e-01    +2.6427e+00   
-3.9000e-01    -3.4299e-01    +2.6525e+00   
-4.0000e-01    -3.5728e-01    +2.6621e+00   
-4.1000e-01    -3.7136e-01    +2.6718e+00   
-4.2000e-01    -3.8523e-01    +2.6814e+00   
-4.3000e-01    -3.9889e-01    +2.6909e+00   
-4.4000e-01    -4.1233e-01    +2.7003e+00   
-4.5000e-01    -4.2553e-01    +2.7097e+00   
-4.6000e-01    -4.3851e-01    +2.7190e+00   
-4.7000e-01    -4.5125e-01    +2.7282e+00   
-4.8000e-01    -4.6375e-01    +2.7373e+00   
-4.9000e-01    -4.7600e-01    +2.7464e+00   
-5.0000e-01    -4.8799e-01    +2.7553e+00   
-5.1000e-01    -4.9973e-01    +2.7642e+00   
-5.2000e-01    -5.1120e-01    +2.7729e+00   
-5.3000e-01    -5.2241e-01    +2.7815e+00   
-5.4000e-01    -5.3334e-01    +2.7900e+00   
-5.5000e-01    -5.4400e-01    +2.7984e+00   
-5.6000e-01    -5.5437e-01    +2.8066e+00   
-5.7000e-01    -5.6445e-01    +2.8147e+00   
-5.8000e-01    -5.7424e-01    +2.8227e+00   
-5.9000e-01    -5.8374e-01    +2.8306e+00   
-6.0000e-01    -5.9293e-01    +2.8383e+00   
-6.1000e-01    -6.0182e-01    +2.8458e+00   
-6.2000e-01    -6.1040e-01    +2.8532e+00   
-6.3000e-01    -6.1866e-01    +2.8605e+00   
-6.4000e-01    -6.2661e-01    +2.8675e+00   
-6.5000e-01    -6.3423e-01    +2.8745e+00   
-6.6000e-01    -6.4153e-01    +2.8812e+00   
-6.7000e-01    -6.4850e-01    +2.8878e+00   
-6.8000e-01    -6.5514e-01    +2.8942e+00   
-6.9000e-01    -6.6145e-01    +2.9005e+00   
-7.0000e-01    -6.6741e-01    +2.9065e+00   
-7.1000e-01    -6.7304e-01    +2.9124e+00   
-7.2000e-01    -6.7832e-01    +2.9181e+00   
-7.3000e-01    -6.8326e-01    +2.9237e+00   
-7.4000e-01    -6.8784e-01    +2.9290e+00   
-7.5000e-01    -6.9208e-01    +2.9341e+00   
-7.6000e-01    -6.9596e-01    +2.9391e+00   
-7.7000e-01    -6.9949e-01    +2.9439e+00   
-7.8000e-01    -7.0267e-01    +2.9484e+00   
-7.9000e-01    -7.0549e-01    +2.9528e+00   
-8.0000e-01    -7.0794e-01    +2.9570e+00   
-8.1000e-01    -7.1004e-01    +2.9610e+00   
-8.2000e-01    -7.1178e-01    +2.9647e+00   
-8.3000e-01    -7.1315e-01    +2.9683e+00   
-8.4000e-01    -7.1417e-01    +2.9717e+00   
-8.5000e-01    -7.1482e-01    +2.9749e+00   
-8.6000e-01    -7.1510e-01    +2.9779e+00   
-8.7000e-01    -7.1502e-01    +2.9806e+00   
-8.8000e-01    -7.1458e-01    +2.9832e+00   
-8.9000e-01    -7.1377e-01    +2.9856e+00   
-9.0000e-01    -7.1260e-01    +2.9878e+00   
-9.1000e-01    -7.1106e-01    +2.9897e+00   
-9.2000e-01    -7.0916e-01    +2.9915e+00   
-9.3000e-01    -7.0689e-01    +2.9930e+00   
-9.4000e-01    -7.0426e-01    +2.9944e+00   
-9.5000e-01    -7.0126e-01    +2.9955e+00   
-9.6000e-01    -6.9790e-01    +2.9964e+00   
-9.7000e-01    -6.9417e-01    +2.9972e+00   
-9.8000e-01    -6.9008e-01    +2.9977e+00   
-9.9000e-01    -6.8563e-01    +2.9980e+00   
-1.0000e+00    -6.8081e-01    +2.9981e+00   
