x              var(f(x))      var(g^2(x))    
-1.3000e-01    +5.2449e-02    +1.7492e-02   
-1.4000e-01    +5.2691e-02    +1.8084e-02   
-1.5000e-01    +5.2938e-02    +1.8712e-02   
-1.6000e-01    +5.3179e-02    +1.9395e-02   
-1.7000e-01    +5.3448e-02    +2.0083e-02   
-1.8000e-01    +5.3641e-02    +2.0776e-02   
-1.9000e-01    +5.3759e-02    +2.1537e-02   
-2.0000e-01    +5.3976e-02    +2.2328e-02   
-2.1000e-01    +5.4216e-02    +2.3171e-02   
-2.2000e-01    +5.4464e-02    +2.4068e-02   
-2.3000e-01    +5.4691e-02    +2.5019e-02   
-2.4000e-01    +5.4878e-02    +2.6019e-02   
-2.5000e-01    +5.5213e-02    +2.7029e-02   
-2.6000e-01    +5.5677e-02    +2.8058e-02   
-2.7000e-01    +5.6164e-02    +2.9118e-02   
-2.8000e-01    +5.6698e-02    +3.0259e-02   
-2.9000e-01    +5.7321e-02    +3.1377e-02   
-3.0000e-01    +5.7896e-02    +3.2546e-02   
-3.1000e-01    +5.8468e-02    +3.3719e-02   
-3.2000e-01    +5.8945e-02    +3.4885e-02   
-3.3000e-01    +5.9452e-02    +3.6021e-02   
-3.4000e-01    +5.9960e-02    +3.7084e-02   
-3.5000e-01    +6.0359e-02    +3.8166e-02   
-3.6000e-01    +6.0729e-02    +3.9310e-02   
-3.7000e-01    +6.1083e-02    +4.0492e-02   
-3.8000e-01    +6.1375e-02    +4.1709e-02   
-3.9000e-01    +6.1682e-02    +4.2937e-02   
-4.0000e-01    +6.2040e-02    +4.4189e-02   
-4.1000e-01    +6.2409e-02    +4.5512e-02   
-4.2000e-01    +6.2800e-02    +4.6877e-02   
-4.3000e-01    +6.3193e-02    +4.8259e-02   
-4.4000e-01    +6.3498e-02    +4.9670e-02   
-4.5000e-01    +6.3884e-02    +5.1057e-02   
-4.6000e-01    +6.4331e-02    +5.2470e-02   
-4.7000e-01    +6.4865e-02    +5.3946e-02   
-4.8000e-01    +6.5433e-02    +5.5412e-02   
-4.9000e-01    +6.6074e-02    +5.6873e-02   
-5.0000e-01    +6.6796e-02    +5.8269e-02   
-5.1000e-01    +6.7454e-02    +5.9637e-02   
-5.2000e-01    +6.8074e-02    +6.0996e-02   
-5.3000e-01    +6.8787e-02    +6.2418e-02   
-5.4000e-01    +6.9449e-02    +6.3871e-02   
-5.5000e-01    +7.0026e-02    +6.5347e-02   
-5.6000e-01    +7.0700e-02    +6.6749e-02   
-5.7000e-01    +7.1358e-02    +6.8122e-02   
-5.8000e-01    +7.2004e-02    +6.9666e-02   
-5.9000e-01    +7.2625e-02    +7.1402e-02   
-6.0000e-01    +7.3108e-02    +7.3142e-02   
-6.1000e-01    +7.3741e-02    +7.4937e-02   
-6.2000e-01    +7.4395e-02    +7.6716e-02   
-6.3000e-01    +7.5106e-02    +7.8444e-02   
-6.4000e-01    +7.5836e-02    +8.0214e-02   
-6.5000e-01    +7.6582e-02    +8.2010e-02   
-6.6000e-01    +7.7425e-02    +8.3875e-02   
-6.7000e-01    +7.8337e-02    +8.5688e-02   
-6.8000e-01    +7.9343e-02    +8.7296e-02   
-6.9000e-01    +8.0348e-02    +8.8814e-02   
-7.0000e-01    +8.1282e-02    +9.0251e-02   
-7.1000e-01    +8.2200e-02    +9.1597e-02   
-7.2000e-01    +8.3120e-02    +9.2925e-02   
-7.3000e-01    +8.4042e-02    +9.4193e-02   
-7.4000e-01    +8.4972e-02    +9.5488e-02   
-7.5000e-01    +8.5937e-02    +9.6912e-02   
-7.6000e-01    +8.6950e-02    +9.8380e-02   
-7.7000e-01    +8.8056e-02    +9.9859e-02   
-7.8000e-01    +8.9135e-02    +1.0133e-01   
-7.9000e-01    +9.0282e-02    +1.0270e-01   
-8.0000e-01    +9.1376e-02    +1.0400e-01   
-8.1000e-01    +9.2509e-02    +1.0522e-01   
-8.2000e-01    +9.3548e-02    +1.0633e-01   
-8.3000e-01    +9.4551e-02    +1.0738e-01   
-8.4000e-01    +9.5532e-02    +1.0845e-01   
-8.5000e-01    +9.6560e-02    +1.0947e-01   
-8.6000e-01    +9.7596e-02    +1.1045e-01   
-8.7000e-01    +9.8559e-02    +1.1133e-01   
-8.8000e-01    +9.9439e-02    +1.1203e-01   
-8.9000e-01    +1.0043e-01    +1.1271e-01   
-9.0000e-01    +1.0142e-01    +1.1327e-01   
-9.1000e-01    +1.0237e-01    +1.1393e-01   
-9.2000e-01    +1.0331e-01    +1.1464e-01   
-9.3000e-01    +1.0426e-01    +1.1531e-01   
-9.4000e-01    +1.0507e-01    +1.1591e-01   
-9.5000e-01    +1.0566e-01    +1.1622e-01   
-9.6000e-01    +1.0605e-01    +1.1640e-01   
-9.7000e-01    +1.0642e-01    +1.1654e-01   
-9.8000e-01    +1.0665e-01    +1.1673e-01   
-9.9000e-01    +1.0679e-01    +1.1686e-01   
-1.0000e+00    +1.0687e-01    +1.1692e-01   
