x              forward(x)     
-6.7000e-01    +1.7803e-01   
-6.8000e-01    +1.7339e-01   
-6.9000e-01    +1.6869e-01   
-7.0000e-01    +1.6395e-01   
-7.1000e-01    +1.5916e-01   
-7.2000e-01    +1.5431e-01   
-7.3000e-01    +1.4942e-01   
-7.4000e-01    +1.4448e-01   
-7.5000e-01    +1.3949e-01   
-7.6000e-01    +1.3446e-01   
-7.7000e-01    +1.2937e-01   
-7.8000e-01    +1.2424e-01   
-7.9000e-01    +1.1906e-01   
-8.0000e-01    +1.1384e-01   
-8.1000e-01    +1.0857e-01   
-8.2000e-01    +1.0325e-01   
-8.3000e-01    +9.7888e-02   
-8.4000e-01    +9.2481e-02   
-8.5000e-01    +8.7029e-02   
-8.6000e-01    +8.1532e-02   
-8.7000e-01    +7.5991e-02   
-8.8000e-01    +7.0406e-02   
-8.9000e-01    +6.4777e-02   
-9.0000e-01    +5.9104e-02   
-9.1000e-01    +5.3387e-02   
-9.2000e-01    +4.7628e-02   
-9.3000e-01    +4.1824e-02   
-9.4000e-01    +3.5978e-02   
-9.5000e-01    +3.0089e-02   
-9.6000e-01    +2.4157e-02   
-9.7000e-01    +1.8182e-02   
-9.8000e-01    +1.2164e-02   
-9.9000e-01    +6.1034e-03   
-1.0000e+00    +0.0000e+00   
