x              mean(f(x))     mean(g^2(x))   
-1.3000e-01    -8.6404e-02    +2.4501e+00   
-1.4000e-01    -1.0164e-01    +2.4531e+00   
-1.5000e-01    -1.1677e-01    +2.4562e+00   
-1.6000e-01    -1.3138e-01    +2.4593e+00   
-1.7000e-01    -1.4579e-01    +2.4625e+00   
-1.8000e-01    -1.6011e-01    +2.4658e+00   
-1.9000e-01    -1.7421e-01    +2.4690e+00   
-2.0000e-01    -1.8826e-01    +2.4725e+00   
-2.1000e-01    -2.0172e-01    +2.4761e+00   
-2.2000e-01    -2.1515e-01    +2.4795e+00   
-2.3000e-01    -2.2830e-01    +2.4832e+00   
-2.4000e-01    -2.4129e-01    +2.4871e+00   
-2.5000e-01    -2.5421e-01    +2.4910e+00   
-2.6000e-01    -2.6714e-01    +2.4950e+00   
-2.7000e-01    -2.7994e-01    +2.4989e+00   
-2.8000e-01    -2.9240e-01    +2.5030e+00   
-2.9000e-01    -3.0485e-01    +2.5071e+00   
-3.0000e-01    -3.1700e-01    +2.5112e+00   
-3.1000e-01    -3.2902e-01    +2.5151e+00   
-3.2000e-01    -3.4065e-01    +2.5192e+00   
-3.3000e-01    -3.5270e-01    +2.5232e+00   
-3.4000e-01    -3.6457e-01    +2.5275e+00   
-3.5000e-01    -3.7630e-01    +2.5316e+00   
-3.6000e-01    -3.8804e-01    +2.5357e+00   
-3.7000e-01    -3.9961e-01    +2.5400e+00   
-3.8000e-01    -4.1129e-01    +2.5442e+00   
-3.9000e-01    -4.2294e-01    +2.5483e+00   
-4.0000e-01    -4.3471e-01    +2.5525e+00   
-4.1000e-01    -4.4632e-01    +2.5565e+00   
-4.2000e-01    -4.5797e-01    +2.5603e+00   
-4.3000e-01    -4.6966e-01    +2.5640e+00   
-4.4000e-01    -4.8124e-01    +2.5678e+00   
-4.5000e-01    -4.9257e-01    +2.5718e+00   
-4.6000e-01    -5.0376e-01    +2.5758e+00   
-4.7000e-01    -5.1465e-01    +2.5798e+00   
-4.8000e-01    -5.2515e-01    +2.5838e+00   
-4.9000e-01    -5.3536e-01    +2.5876e+00   
-5.0000e-01    -5.4511e-01    +2.5913e+00   
-5.1000e-01    -5.5463e-01    +2.5949e+00   
-5.2000e-01    -5.6409e-01    +2.5982e+00   
-5.3000e-01    -5.7354e-01    +2.6014e+00   
-5.4000e-01    -5.8283e-01    +2.6045e+00   
-5.5000e-01    -5.9207e-01    +2.6074e+00   
-5.6000e-01    -6.0111e-01    +2.6104e+00   
-5.7000e-01    -6.0988e-01    +2.6136e+00   
-5.8000e-01    -6.1846e-01    +2.6166e+00   
-5.9000e-01    -6.2696e-01    +2.6196e+00   
-6.0000e-01    -6.3514e-01    +2.6229e+00   
-6.1000e-01    -6.4336e-01    +2.6261e+00   
-6.2000e-01    -6.5149e-01    +2.6289e+00   
-6.3000e-01    -6.5937e-01    +2.6318e+00   
-6.4000e-01    -6.6683e-01    +2.6348e+00   
-6.5000e-01    -6.7396e-01    +2.6378e+00   
-6.6000e-01    -6.8063e-01    +2.6406e+00   
-6.7000e-01    -6.8698e-01    +2.6430e+00   
-6.8000e-01    -6.9298e-01    +2.6450e+00   
-6.9000e-01    -6.9874e-01    +2.6470e+00   
-7.0000e-01    -7.0434e-01    +2.6491e+00   
-7.1000e-01    -7.0964e-01    +2.6512e+00   
-7.2000e-01    -7.1440e-01    +2.6529e+00   
-7.3000e-01    -7.1847e-01    +2.6547e+00   
-7.4000e-01    -7.2204e-01    +2.6564e+00   
-7.5000e-01    -7.2536e-01    +2.6580e+00   
-7.6000e-01    -7.2835e-01    +2.6592e+00   
-7.7000e-01    -7.3091e-01    +2.6603e+00   
-7.8000e-01    -7.3316e-01    +2.6614e+00   
